TOTAL,COUNTRY,YEAR,UM,PORCION,TOTAL
Africa,2073,2073,1000,3423278.516,3423278516
Africa,2074,2074,1000,3461197.283,3461197283
Africa,2075,2075,1000,3498756.622,3498756622
Africa,2076,2076,1000,3535942.175,3535942175
Africa,2077,2077,1000,3572737.4,3572737400
Africa,2078,2078,1000,3609121.633,3609121633
Africa,2079,2079,1000,3645072.664,3645072664
Africa,2080,2080,1000,3680570.7,3680570700
Africa,2081,2081,1000,3715600.5,3715600500
Africa,2082,2082,1000,3750150.66,3750150660
Africa,2083,2083,1000,3784210.622,3784210622
Africa,2084,2084,1000,3817771.91,3817771910
Africa,2085,2085,1000,3850825.836,3850825836
Africa,2086,2086,1000,3883362.366,3883362366
Africa,2087,2087,1000,3915370.844,3915370844
Africa,2088,2088,1000,3946842.075,3946842075
Africa,2089,2089,1000,3977767.04,3977767040
Africa,2090,2090,1000,4008137.677,4008137677
Africa,2091,2091,1000,4037946.843,4037946843
Africa,2092,2092,1000,4067188.196,4067188196
Africa,2093,2093,1000,4095856.076,4095856076
Africa,2094,2094,1000,4123945.809,4123945809
Africa,2095,2095,1000,4151452.763,4151452763
Africa,2096,2096,1000,4178373.213,4178373213
Africa,2097,2097,1000,4204703.621,4204703621
Africa,2098,2098,1000,4230441.006,4230441006
Africa,2099,2099,1000,4255582.852,4255582852
Africa,2100,2100,1000,4280127.083,4280127083
